"Sample_ID"	"Order"	"Family"	"Genus"	"Species"	"Taxon"	"Total"	"TotalDryMass"	"DryMass"	"Sum_Biomass"	"Stream"	"Site"	"Region"	"Treatment"	"Landscape"	"Leaf"	"Sum_Total"
"14"	"TG1A13"	"Diptera"	"Chironomidae"	"Orthocladiinae"	""	"Orthocladiinae"	200	27.2632233821436	0.136316116910718	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"15"	"TG1A13"	"Diptera"	"Simuliidae"	"Simulium"	"sp."	"Simulium sp."	66	35.80894829242	0.542559822612424	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"16"	"TG1A13"	"Crustacea"	"Gammaridae"	"Gammarus"	"fossarum"	"Gammarus fossarum"	10	49.6688457234602	4.96688457234602	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"17"	"TG1A13"	"Crustacea"	"Gammaridae"	"Gammarus"	"sp."	"Gammarus sp."	3	0.50896053963912	0.16965351321304	130.68121745223	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	324
"18"	"TG1A14"	"Ephemeroptera"	"Baetidae"	"Alainites"	"muticus"	"Alainites muticus"	1	0.038880971370604	0.038880971370604	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"19"	"TG1A14"	"Ephemeroptera"	"Leptophlebiidae"	"Habrophlebia"	"sp."	"Habrophlebia sp."	1	0.0496867975084041	0.0496867975084041	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"20"	"TG1A14"	"Ephemeroptera"	"Leptophlebiidae"	"Habroleptoides"	"sp."	"Habroleptoides sp."	4	1.92415537158768	0.48103884289692	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"21"	"TG1A14"	"Plecoptera"	"Capniidae"	"Capnia"	"sp."	"Capnia sp."	3	1.04996621291023	0.349988737636742	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"22"	"TG1A14"	"Plecoptera"	"Nemouridae"	"Nemoura"	"sp."	"Nemoura sp."	1	0.578322246363004	0.578322246363004	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"23"	"TG1A14"	"Trichoptera"	"Limnephilidae"	""	""	"Limnephilidae"	10	4.38471294778764	0.438471294778764	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"24"	"TG1A14"	"Trichoptera"	"Hydropsychidae"	"Hydropsyche"	"sp."	"Hydropsyche sp."	2	0.3568761376541	0.17843806882705	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"25"	"TG1A14"	"Trichoptera"	"Rhyacophilidae"	"Rhyacophila"	"sp."	"Rhyacophila sp."	3	0.0416645820076162	0.0138881940025387	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"26"	"TG1A14"	"Bivalvia"	"Sphaeriidae"	"Pisidium"	"sp."	"Pisidium sp."	2	0.926230718391453	0.463115359195727	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"27"	"TG1A14"	"Diptera"	"Psychodidae"	"Psychodinae"	""	"Psychodinae"	1	NA	NA	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"28"	"TG1A14"	"Diptera"	"Pedicidae"	"Pediciinae"	""	"Pediciinae"	1	0.502780814823426	0.502780814823426	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"29"	"TG1A14"	"Coleoptera"	"Gyrinidae"	"Orectochilus"	"villosus"	"Orectochilus villosus"	1	NA	NA	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"30"	"TG1A14"	"Diptera"	"Ceratopogonidae"	"Ceratopogoninae"	""	"Ceratopogoninae"	1	0.007213690682417	0.007213690682417	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"31"	"TG1A14"	"Oligochaeta"	""	""	""	"Oligochaeta"	1	0.00584999998676948	0.00584999998676948	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"32"	"TG1A14"	"Diptera"	"Chironomidae"	"Chironominae"	""	"Chironominae"	4	0.128517554671697	0.0321293886679243	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"33"	"TG1A14"	"Diptera"	"Chironomidae"	"Tanypodinae"	""	"Tanypodinae"	3	0.202622694691504	0.0675408982305013	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"34"	"TG1A14"	"Diptera"	"Chironomidae"	"Orthocladiinae"	""	"Orthocladiinae"	410	51.8134638795535	0.126374302145253	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"35"	"TG1A14"	"Diptera"	"Simuliidae"	"Simulium"	"sp."	"Simulium sp."	4	1.09065528430896	0.27266382107724	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"36"	"TG1A14"	"Crustacea"	"Asellidae"	"Asellus"	"aquaticus"	"Asellus aquaticus"	1	0.0273046551530744	0.0273046551530744	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"37"	"TG1A14"	"Crustacea"	"Gammaridae"	"Gammarus"	"sp."	"Gammarus sp."	2	0.0954140011395846	0.0477070005697923	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"38"	"TG1A14"	"Crustacea"	"Gammaridae"	"Gammarus"	"fossarum"	"Gammarus fossarum"	49	489.773936973794	9.99538646885293	552.998255534385	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	505
"39"	"TG1A15"	"Ephemeroptera"	"Baetidae"	"Baetis"	"sp."	"Baetis sp."	9	0.300111505167809	0.0333457227964232	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"40"	"TG1A15"	"Ephemeroptera"	"Leptophlebiidae"	"Habroleptoides"	"sp."	"Habroleptoides sp."	2	0.770273187487559	0.38513659374378	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"41"	"TG1A15"	"Ephemeroptera"	"Leptophlebiidae"	"Paraleptophlebia"	"sp."	"Paraleptophlebia sp."	2	1.83000775285421	0.915003876427106	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"42"	"TG1A15"	"Plecoptera"	"Capniidae"	"Capnia"	"sp."	"Capnia sp."	4	1.26407619112579	0.316019047781447	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"43"	"TG1A15"	"Plecoptera"	"Nemouridae"	"Nemoura"	"sp."	"Nemoura sp."	1	0.402653779794847	0.402653779794847	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"44"	"TG1A15"	"Trichoptera"	"Rhyacophilidae"	"Rhyacophila"	"sp."	"Rhyacophila sp."	3	0.0836536388016695	0.0278845462672232	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"45"	"TG1A15"	"Trichoptera"	"Limnephilidae"	""	""	"Limnephilidae"	11	3.12242029517332	0.283856390470301	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"46"	"TG1A15"	"Trichoptera"	"Hydropsychidae"	"Hydropsyche"	"sp."	"Hydropsyche sp."	1	0.117542685292021	0.117542685292021	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"47"	"TG1A15"	"Crustacea"	"Gammaridae"	"Gammarus"	"fossarum"	"Gammarus fossarum"	8	29.8023084062297	3.72528855077871	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"48"	"TG1A15"	"Crustacea"	"Gammaridae"	"Gammarus"	"sp."	"Gammarus sp."	6	1.41542547509561	0.235904245849269	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"49"	"TG1A15"	"Diptera"	"Chironomidae"	"Orthocladiinae"	""	"Orthocladiinae"	185	23.98341292617	0.129640069871189	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"50"	"TG1A15"	"Oligochaeta"	""	""	""	"Oligochaeta"	1	0.00584999998676948	0.00584999998676948	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"51"	"TG1A15"	"Diptera"	"Simuliidae"	"Simulium"	"sp."	"Simulium sp."	14	8.9662093099672	0.640443522140515	72.0639451531465	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	247
"52"	"TG1A16"	"Ephemeroptera"	"Heptageniidae"	"Ecdyonurus"	"sp."	"Ecdyonurus sp."	1	0.0680366875112639	0.0680366875112639	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"53"	"TG1A16"	"Ephemeroptera"	"Leptophlebiidae"	"Habrophlebia"	"sp."	"Habrophlebia sp."	4	0.0426452548925219	0.0106613137231305	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"54"	"TG1A16"	"Ephemeroptera"	"Leptophlebiidae"	"Habroleptoides"	"sp."	"Habroleptoides sp."	9	6.86661413043995	0.762957125604439	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"55"	"TG1A16"	"Ephemeroptera"	"Baetidae"	"Baetis"	"sp."	"Baetis sp."	3	0.418593567861121	0.13953118928704	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"56"	"TG1A16"	"Plecoptera"	"Capniidae"	"Capnia"	"sp."	"Capnia sp."	3	1.13610440524078	0.378701468413592	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"57"	"TG1A16"	"Plecoptera"	"Nemouridae"	"Nemoura"	"sp."	"Nemoura sp."	1	0.258516267230642	0.258516267230642	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"58"	"TG1A16"	"Trichoptera"	"Rhyacophilidae"	"Rhyacophila"	"sp."	"Rhyacophila sp."	1	0.0138881940025387	0.0138881940025387	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"59"	"TG1A16"	"Trichoptera"	"Limnephilidae"	""	""	"Limnephilidae"	6	4.23637068508005	0.706061780846675	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"60"	"TG1A16"	"Gastropoda"	"Lymnaeidae"	"Stagnicola"	"sp."	"Stagnicola sp."	1	0.487419138946409	0.487419138946409	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"61"	"TG1A16"	"Coleoptera"	"Scirtidae"	"Elodes"	"sp."	"Elodes sp."	1	NA	NA	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"62"	"TG1A16"	"Hydracarina"	""	""	""	"Hydracarina"	1	0.132655465080122	0.132655465080122	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"63"	"TG1A16"	"Oligochaeta"	""	""	""	"Oligochaeta"	2	0.0218856177866469	0.0109428088933235	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"64"	"TG1A16"	"Crustacea"	"Asellidae"	"Asellus"	"aquaticus"	"Asellus aquaticus"	1	0.124904739339981	0.124904739339981	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"65"	"TG1A16"	"Diptera"	"Chironomidae"	"Tanypodinae"	""	"Tanypodinae"	5	0.308504962427819	0.0617009924855638	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"66"	"TG1A16"	"Diptera"	"Chironomidae"	"Orthocladiinae"	""	"Orthocladiinae"	160	14.113652360794	0.0882103272549625	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"67"	"TG1A16"	"Diptera"	"Simuliidae"	"Simulium"	"sp."	"Simulium sp."	5	1.93722238623831	0.387444477247663	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"68"	"TG1A16"	"Crustacea"	"Gammaridae"	"Gammarus"	"fossarum"	"Gammarus fossarum"	20	269.954780670936	13.4977390335468	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"69"	"TG1A16"	"Crustacea"	"Gammaridae"	"Gammarus"	"sp."	"Gammarus sp."	5	0.8482675660652	0.16965351321304	300.970062099874	"TG1"	"TG1A"	"TG"	"CoarseAlder"	"A"	"Alder"	229
"70"	"TG1A17"	"Trichoptera"	"Rhyacophilidae"	"Rhyacophila"	"sp."	"Rhyacophila sp."	6	0.410947141514167	0.0684911902523612	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"71"	"TG1A17"	"Hydracarina"	""	""	""	"Hydracarina"	1	0.132655465080122	0.132655465080122	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"72"	"TG1A17"	"Diptera"	"Empididae"	"Hemerodromiinae"	""	"Hemerodromiinae"	1	0.144849441343154	0.144849441343154	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"73"	"TG1A17"	"Diptera"	"Limoniidae"	"Eriopterini"	""	"Eriopterini"	1	0.434156116403734	0.434156116403734	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"74"	"TG1A17"	"Trichoptera"	"Limnephilidae"	""	""	"Limnephilidae"	8	4.23216268844093	0.529020336055117	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"75"	"TG1A17"	"Ephemeroptera"	"Baetidae"	"Baetis"	"sp."	"Baetis sp."	3	0.0637291874381795	0.0212430624793932	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"76"	"TG1A17"	"Ephemeroptera"	"Baetidae"	"Alainites"	"muticus"	"Alainites muticus"	7	0.245147025784127	0.0350210036834467	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"77"	"TG1A17"	"Ephemeroptera"	"Leptophlebiidae"	"Habrophlebia"	"sp."	"Habrophlebia sp."	3	0.121082970905327	0.0403609903017756	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"78"	"TG1A17"	"Ephemeroptera"	"Leptophlebiidae"	"Habroleptoides"	"sp."	"Habroleptoides sp."	1	0.44750714243977	0.44750714243977	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"79"	"TG1A17"	"Plecoptera"	"Capniidae"	"Capnia"	"sp."	"Capnia sp."	1	0.296643711311664	0.296643711311664	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"80"	"TG1A17"	"Plecoptera"	"Nemouridae"	"Nemoura"	"sp."	"Nemoura sp."	1	0.258516267230642	0.258516267230642	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"81"	"TG1A17"	"Trichoptera"	"Hydropsychidae"	"Hydropsyche"	"sp."	"Hydropsyche sp."	3	1.67488525861452	0.558295086204838	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"82"	"TG1A17"	"Diptera"	"Simuliidae"	"Prosimulium"	"sp."	"Prosimulium sp."	1	0.0723318013136437	0.0723318013136437	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"83"	"TG1A17"	"Diptera"	"Simuliidae"	"Simulium"	"sp."	"Simulium sp."	41	16.7751044393001	0.409148888763417	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"84"	"TG1A17"	"Diptera"	"Chironomidae"	"Chironominae"	""	"Chironominae"	1	0.00470090610758328	0.00470090610758328	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"85"	"TG1A17"	"Coleoptera"	"Elmidae"	"Oulimnius"	"sp."	"Oulimnius sp."	1	0.0269812350231304	0.0269812350231304	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"86"	"TG1A17"	"Oligochaeta"	""	""	""	"Oligochaeta"	10	0.184002433103603	0.0184002433103603	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"87"	"TG1A17"	"Diptera"	"Chironomidae"	"Tanypodinae"	""	"Tanypodinae"	1	0.128752108314823	0.128752108314823	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"88"	"TG1A17"	"Crustacea"	"Gammaridae"	"Gammarus"	"sp."	"Gammarus sp."	1	0.0958978118353819	0.0958978118353819	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"89"	"TG1A17"	"Diptera"	"Chironomidae"	"Orthocladiinae"	""	"Orthocladiinae"	370	49.1929601170282	0.132953946262238	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"90"	"TG1A17"	"Crustacea"	"Asellidae"	"Asellus"	"aquaticus"	"Asellus aquaticus"	1	0.0273046551530744	0.0273046551530744	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"91"	"TG1A17"	"Crustacea"	"Gammaridae"	"Gammarus"	"fossarum"	"Gammarus fossarum"	3	12.1367675722004	4.04558919073346	87.1070854958862	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	466
"92"	"TG1A18"	"Trichoptera"	"Rhyacophilidae"	"Rhyacophila"	"sp."	"Rhyacophila sp."	2	0.0277763880050775	0.0138881940025387	107.19539259109	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	92
"93"	"TG1A18"	"Oligochaeta"	""	""	""	"Oligochaeta"	2	0.034129245632889	0.0170646228164445	107.19539259109	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	92
"94"	"TG1A18"	"Diptera"	"Chironomidae"	"Orthocladiinae"	""	"Orthocladiinae"	62	2.85724932142109	0.0460846664745337	107.19539259109	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	92
"95"	"TG1A18"	"Crustacea"	"Gammaridae"	"Gammarus"	"fossarum"	"Gammarus fossarum"	3	59.0258450368132	19.6752816789377	107.19539259109	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	92
"96"	"TG1A18"	"Trichoptera"	"Limnephilidae"	"Limnephilini"	""	"Limnephilini"	1	39.1124927393962	39.1124927393962	107.19539259109	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	92
"97"	"TG1A18"	"Ephemeroptera"	"Baetidae"	"Baetis"	"sp."	"Baetis sp."	6	0.506627335473458	0.0844378892455763	107.19539259109	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	92
"98"	"TG1A18"	"Ephemeroptera"	"Leptophlebiidae"	"Habroleptoides"	"sp."	"Habroleptoides sp."	1	0.44750714243977	0.44750714243977	107.19539259109	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	92
"99"	"TG1A18"	"Plecoptera"	"Capniidae"	"Capnia"	"sp."	"Capnia sp."	1	0.473286226287937	0.473286226287937	107.19539259109	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	92
"100"	"TG1A18"	"Diptera"	"Simuliidae"	"Simulium"	"sp."	"Simulium sp."	14	4.71047915562018	0.336462796830013	107.19539259109	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	92
"101"	"TG1A19"	"Ephemeroptera"	"Baetidae"	"Baetis"	"sp."	"Baetis sp."	4	0.0943700337967289	0.0235925084491822	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"102"	"TG1A19"	"Ephemeroptera"	"Ephemerellidae"	"Serratella"	"ignita"	"Serratella ignita"	1	1.34343298263246	1.34343298263246	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"103"	"TG1A19"	"Ephemeroptera"	"Baetidae"	"Alainites"	"muticus"	"Alainites muticus"	3	0.374214602965097	0.124738200988366	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"104"	"TG1A19"	"Ephemeroptera"	"Heptageniidae"	"Ecdyonurus"	"sp."	"Ecdyonurus sp."	1	2.99479388286238	2.99479388286238	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"105"	"TG1A19"	"Ephemeroptera"	"Leptophlebiidae"	"Habroleptoides"	"sp."	"Habroleptoides sp."	2	1.18291419192608	0.591457095963038	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"106"	"TG1A19"	"Coleoptera"	"Dytiscidae"	"Colymbetinae"	""	"Colymbetinae"	2	NA	NA	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"107"	"TG1A19"	"Plecoptera"	"Nemouridae"	"Nemoura"	"sp."	"Nemoura sp."	3	1.26866946415062	0.422889821383539	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"108"	"TG1A19"	"Plecoptera"	"Capniidae"	"Capnia"	"sp."	"Capnia sp."	1	0.296643711311664	0.296643711311664	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"109"	"TG1A19"	"Trichoptera"	"Hydropsychidae"	"Hydropsyche"	"sp."	"Hydropsyche sp."	7	4.39872441373615	0.628389201962307	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"110"	"TG1A19"	"Turbellaria"	""	""	""	"Turbellaria"	3	0.5701093306935	0.1900364435645	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"111"	"TG1A19"	"Oligochaeta"	""	""	""	"Oligochaeta"	1	0.20495374819289	0.20495374819289	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"112"	"TG1A19"	"Diptera"	"Stratiomyidae"	"Clitellarinae"	""	"Clitellarinae"	1	NA	NA	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"113"	"TG1A19"	"Diptera"	"Pedicidae"	"Pediciinae"	""	"Pediciinae"	2	0.72492070342791	0.362460351713955	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"114"	"TG1A19"	"Coleoptera"	"Elmidae"	"Esolus"	"sp."	"Esolus sp."	1	0.0814041168408269	0.0814041168408269	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"115"	"TG1A19"	"Trichoptera"	"Rhyacophilidae"	"Rhyacophila"	"sp."	"Rhyacophila sp."	1	0.0492835564623724	0.0492835564623724	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
"116"	"TG1A19"	"Trichoptera"	"Limnephilidae"	"Chaetopt.u.Stenoph."	"Gruppe AURICOLLIS"	"Chaetopt.u.Stenoph. Gruppe AURICOLLIS"	3	19.173630162204	6.391210054068	278.165598726249	"TG1"	"TG1A"	"TG"	"CoarseAsh"	"A"	"Ash"	420
